birmingham,charlotte,cincinnati,charleston,colorado springs,columbia,columbus,dallas,greensboro,houston,indianapolis,kansas-city,las-vegas,memphis,minneapolis,nashville,phoenix,raleigh,reno,salt-lake,st-louis,tucson,winston-salem
35180,28231,47025,29018,80106,29006,43015,75002,27235,77002,46218,66062,89127,38126,54003,37213,85006,27701,89701,84006,62001,85701,27012
35121,28234,47001,29059,80132,29009,43065,75035,27249,77003,46201,66061,89152,38105,54010,37228,85034,27704,89703,84020,62002,85714,27023
35031,28208,47060,29401,80133,29010,43017,75098,27260,77004,46225,66212,89106,38106,54011,37207,85040,27707,89702,84044,62006,85705,27040
35952,28206,47041,29403,80809,29014,43082,75071,27262,77005,46222,66213,89158,38114,54014,37201,85004,27705,89721,84065,62009,85716,27045
35133,28217,47031,29404,80813,29015,43035,75070,27265,77006,46204,66215,89109,38131,54021,37210,85009,27703,89711,84070,62010,85712,27051
35980,28212,47018,29405,80814,29016,43021,75287,27282,77007,46202,66223,89169,38132,54022,37203,85003,27510,89712,84074,62012,85706,27101
35063,28229,47032,29406,80816,29020,43074,75080,27283,77008,46241,66221,89104,38118,54723,37219,85014,27713,89713,84081,62013,85711,27103
35049,28134,47022,29407,80817,29030,43011,75025,27301,77009,46208,66208,89101,38108,54740,37216,85051,27514,89714,84084,62014,85719,27104
35172,28202,47001,29409,80819,29031,43240,75023,27313,77010,46203,66030,89155,38115,54750,37217,85015,27517,89408,84088,62018,85713,27105
35097,28205,47040,29410,80829,29032,43061,75074,27377,77011,46219,66216,89119,38113,54761,37115,85035,27278,89705,84092,62019,85710,27106
35013,28204,47018,29412,80831,29033,43003,75093,27401,77012,46226,66203,89107,38116,54767,37214,85019,27712,89505,84094,62021,85746,27107
35242,28216,47017,29414,80840,29036,43066,75072,27403,77013,46205,66204,89102,38107,54769,37204,85256,27516,89501,84095,62022,85730,27127
35215,28052,41042,29418,80860,29037,43356,75033,27405,77014,46235,66210,89115,38112,55001,37206,85016,27708,89512,84096,62023,85741,27284
35216,28209,41018,29420,80863,29044,43032,75024,27406,77015,46107,66202,89121,38127,55003,37218,85281,27702,89431,84102,62024,85715,
35244,28273,41005,29423,80902,29045,43130,75034,27407,77016,46224,66209,89108,38109,55005,37211,85008,27599,89502,84103,62025,85756,
35226,28262,41091,29424,80903,29047,43147,75013,27409,77017,46254,66207,89103,38128,55006,37212,85007,27515,89503,84104,62028,85745,
35209,28215,41048,29426,80904,29052,43110,75069,27410,77018,46214,66224,89146,38103,55008,37076,85301,27715,89434,84105,62030,85704,
35022,28214,41094,29429,80905,29053,43076,75075,27455,77019,46268,66226,89110,38111,55009,37013,85031,27722,89506,84106,62031,85742,
35173,28203,41092,29431,80906,29054,43105,75189,,77020,46229,66219,89128,38104,55011,37189,85282,27717,89509,84107,62033,85748,
35020,28269,41080,29432,80907,29055,43112,75252,,77021,46216,66205,89118,38122,55012,37220,85363,27709,89433,84108,62034,85718,
35211,28213,41022,29434,80908,29058,43102,75078,,77022,46221,66214,89120,38141,55013,37215,85037,27706,89523,84109,62035,85743,
35023,28210,41021,29436,80909,29061,43046,75094,,77023,46227,66206,89142,38134,55014,37130,85329,27710,89521,84112,62036,85750,
35235,28054,41025,29437,80910,29063,43154,75048,,77024,46228,66085,89030,38119,55016,37138,85283,27501,89436,84115,62037,85653,
35126,28101,45275,29438,80911,29065,43107,75082,,77025,46260,66083,89122,38117,55017,37205,85017,27601,89595,84116,62040,85737,
35205,28098,41071,29439,80913,29067,43155,75409,,77026,46231,66218,89015,38120,55020,37202,85033,27605,89519,84117,62044,85747,
35243,28105,41076,29445,80914,29070,43148,75009,,77027,46220,66025,89156,38671,55024,37221,85029,27610,89511,84118,62045,85755,
